"Sygnatura czasowa","Płeć:","Wiek:","Kierunek studiów:"," [Czuję się brzydszy/a od innych ludzi.]"," [Boję się wykluczenia, bo nie jestem wystarczająco fajny/a.]"," [Ogólnie jestem zadowolony ze swoich wyników na studiach.]"," [Nie jestem osobą wartą zainteresowania.]"," [Rozpoczynając naukę nowych przedmiotów, obawiam się, że im nie podołam.]"," [Jestem wystarczająco atrakcyjny/a, żeby umawiać się na randki.]"," [Gdy ktoś mnie skrytykuje, to czuję się bezwartościowy/a.]"," [Uważam, że potrafię wspierać bliskie mi osoby.]"," [Myślę, że jestem za brzydki/a, żeby podobać się innym.]"," [Moje spostrzeżenia są zwykle cennym wkładem w dyskusję na zajęciach.]"," [Zasługuję na miłość i akceptację taka/taki, jaka/jaki jestem.]"," [Relacja ze mną jest cenna.]"," [Uważam, że nie jestem dostatecznie inteligentny/a, aby studiować kierunek, który wybrałem/am.]"," [Zasługuję na bycie docenionym/ą nie mniej niż inni studenci.]"," [Akceptuję niedoskonałości w swoim ciele.]"," [Kiedy ponoszę porażkę na studiach, to czuję się mniej inteligentny/a.]"," [Ogólnie jestem zadowolony/a ze swojego wyglądu.]"," [Nie zasługuję na komplementy, bo jestem za mało atrakcyjny/a.]"," [Czułbym się niepewny swojej wiedzy i swoich umiejętności, nawet gdyby moje wyniki na studiach były dobre.]"," [Krytyczne uwagi na temat mojego wyglądu sprawiają, że czuję się zupełnie nieatrakcyjny/a.]"," [Nie lubię patrzeć na swoje zdjęcia, bo wychodzę na nich źle.]"," [Są części mojego ciała, których nienawidzę.]"," [Wstydzę się pokazać w stroju kąpielowym na plaży.]"," [Boję się tego, że będę źle odebrany/a, jeśli będę zachowywać się swobodnie.]"," [Czuję się gorszy/a od innych.]"," [Jestem beznadziejnym/ą studentem/studentką.]"," [Czuję się skrępowany/a tym, jak wyglądam.]"," [Wstydzę się zadawać pytania na zajęciach z obawy, że są za głupie.]"
"2021/12/28 1:26:21 PM CET","inna","21","Filologia Słowiańska","zdecydowanie tak","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","raczej nie","raczej tak","zdecydowanie tak","zdecydowanie tak","raczej nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","raczej nie","raczej tak","raczej tak","raczej tak","zdecydowanie tak","raczej tak","raczej tak","raczej tak","trochę tak, trochę nie","zdecydowanie tak","raczej nie","raczej tak","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie"
"2021/12/28 1:32:59 PM CET","kobieta","20","Sinologia","trochę tak, trochę nie","raczej tak","raczej nie","raczej nie","raczej tak","trochę tak, trochę nie","raczej nie","raczej tak","raczej nie","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","raczej nie","raczej nie","raczej nie","raczej tak","raczej nie","raczej nie","raczej tak","raczej nie","raczej nie","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","raczej tak"
"2021/12/28 1:57:08 PM CET","kobieta","21","Filologia słowiańska - bułgarska ","trochę tak, trochę nie","zdecydowanie tak","raczej nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","raczej tak","raczej tak","raczej nie","zdecydowanie tak","raczej tak","raczej nie","raczej nie","zdecydowanie nie","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak"
"2021/12/28 2:05:44 PM CET","kobieta","20","Sinologia","raczej nie","trochę tak, trochę nie","zdecydowanie tak","raczej nie","trochę tak, trochę nie","zdecydowanie tak","raczej nie","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","raczej nie","raczej tak","trochę tak, trochę nie","zdecydowanie nie","raczej nie","raczej nie","trochę tak, trochę nie","raczej nie","zdecydowanie nie","raczej nie","zdecydowanie nie"
"2021/12/28 2:11:01 PM CET","kobieta","20","Matematyka","zdecydowanie tak","trochę tak, trochę nie","raczej tak","raczej nie","raczej tak","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","raczej tak","raczej tak","trochę tak, trochę nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","zdecydowanie tak","raczej tak","raczej tak","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak"
"2021/12/28 2:13:48 PM CET","kobieta","21","Matematyka","zdecydowanie nie","zdecydowanie nie","raczej tak","zdecydowanie nie","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","raczej tak","raczej tak","zdecydowanie tak","raczej tak","raczej tak","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej nie","trochę tak, trochę nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie"
"2021/12/28 2:14:21 PM CET","kobieta","20","Finanse i rachunkowość","raczej nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie nie","raczej tak","raczej nie","raczej tak","raczej nie","raczej nie","zdecydowanie tak","raczej tak","zdecydowanie nie","raczej tak","raczej tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","zdecydowanie nie","raczej nie","raczej nie","raczej nie","zdecydowanie nie","raczej tak","raczej nie","raczej nie","raczej nie","zdecydowanie nie"
"2021/12/28 2:15:44 PM CET","kobieta","19","Sinologia","zdecydowanie tak","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","zdecydowanie tak","raczej tak","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","raczej tak","zdecydowanie tak","raczej nie","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak","raczej tak","raczej nie","raczej tak","raczej tak","raczej tak","trochę tak, trochę nie","raczej tak","raczej tak"
"2021/12/28 2:20:02 PM CET","kobieta","19","Matematyka ","zdecydowanie nie","raczej nie","raczej tak","zdecydowanie nie","raczej nie","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","raczej tak","raczej nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej nie"
"2021/12/28 2:36:00 PM CET","kobieta","23","Zarządzanie","raczej nie","raczej nie","trochę tak, trochę nie","zdecydowanie nie","raczej nie","zdecydowanie tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","raczej tak","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","zdecydowanie nie","raczej nie","raczej nie","raczej nie","raczej nie","raczej tak"
"2021/12/28 2:38:42 PM CET","inna","20","Lingwistyka Stosowana","zdecydowanie tak","zdecydowanie tak","raczej nie","raczej nie","raczej tak","zdecydowanie nie","raczej nie","raczej tak","zdecydowanie tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","raczej tak","trochę tak, trochę nie","raczej nie","zdecydowanie tak","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","raczej tak","zdecydowanie tak","raczej tak"
"2021/12/28 2:42:54 PM CET","mężczyzna","20","Ekonometria","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","raczej nie","raczej tak","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","raczej nie","raczej tak","raczej nie","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej tak","trochę tak, trochę nie","zdecydowanie nie","raczej nie","raczej tak"
"2021/12/28 2:56:15 PM CET","mężczyzna","20","Studia międzydziedzinowe MISH","zdecydowanie nie","trochę tak, trochę nie","raczej tak","zdecydowanie nie","raczej nie","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie"
"2021/12/28 3:00:32 PM CET","mężczyzna","20","Ekonomia","trochę tak, trochę nie","raczej nie","raczej tak","zdecydowanie nie","raczej nie","zdecydowanie tak","raczej nie","raczej tak","raczej nie","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","raczej tak","trochę tak, trochę nie","raczej nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej nie","raczej nie"
"2021/12/28 3:00:50 PM CET","mężczyzna","20","Ekonomia","raczej nie","raczej nie","raczej tak","zdecydowanie nie","zdecydowanie nie","raczej tak","zdecydowanie nie","trochę tak, trochę nie","raczej nie","raczej tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","zdecydowanie tak","raczej nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","raczej tak","raczej nie"
"2021/12/28 3:01:27 PM CET","kobieta","20","Międzykierunkowe studia ekonomiczno-menedżerskie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie nie","raczej tak","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej nie","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","raczej tak","raczej nie","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej tak"
"2021/12/28 3:02:10 PM CET","kobieta","20","Informatyka i Ekonometria","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","raczej nie","zdecydowanie tak","trochę tak, trochę nie","raczej tak","raczej nie","trochę tak, trochę nie","raczej tak","raczej tak","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","raczej tak","raczej tak","trochę tak, trochę nie","raczej nie","raczej tak"
"2021/12/28 3:02:17 PM CET","kobieta","21","Zarządzanie","trochę tak, trochę nie","raczej nie","raczej nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","raczej nie","zdecydowanie tak","raczej tak","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","raczej tak","zdecydowanie nie","raczej nie","raczej tak","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","raczej nie","raczej tak"
"2021/12/28 3:05:51 PM CET","kobieta","22","Informatyka","raczej nie","zdecydowanie nie","raczej tak","raczej nie","trochę tak, trochę nie","raczej tak","raczej nie","raczej tak","raczej nie","raczej tak","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","raczej nie","raczej nie","raczej nie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","raczej nie","raczej nie","zdecydowanie nie"
"2021/12/28 3:07:43 PM CET","mężczyzna","20","Finanse i rachunkowość","raczej nie","raczej tak","trochę tak, trochę nie","raczej nie","raczej nie","raczej tak","trochę tak, trochę nie","raczej tak","raczej nie","zdecydowanie nie","raczej tak","raczej tak","raczej tak","raczej nie","raczej tak","trochę tak, trochę nie","raczej tak","raczej nie","trochę tak, trochę nie","zdecydowanie nie","raczej nie","raczej nie","zdecydowanie nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","raczej tak"
"2021/12/28 3:07:59 PM CET","mężczyzna","23","matematyka","raczej nie","trochę tak, trochę nie","zdecydowanie tak","raczej nie","zdecydowanie nie","zdecydowanie tak","raczej nie","trochę tak, trochę nie","raczej nie","raczej tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie nie","raczej nie","raczej tak","raczej tak","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","raczej nie","raczej tak","raczej nie","zdecydowanie nie","raczej nie","zdecydowanie nie","raczej nie","raczej nie","zdecydowanie nie"
"2021/12/28 3:10:26 PM CET","mężczyzna","20","Globalny biznes, finanse i zarządzanie","raczej nie","raczej nie","raczej nie","zdecydowanie nie","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","trochę tak, trochę nie","raczej nie","raczej tak","raczej nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","raczej nie","raczej nie","raczej tak","zdecydowanie nie","raczej nie","zdecydowanie nie","trochę tak, trochę nie"
"2021/12/28 3:11:28 PM CET","kobieta","20","Finanse i Rachunkowość ","trochę tak, trochę nie","raczej nie","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie tak","raczej nie","zdecydowanie tak","raczej nie","trochę tak, trochę nie","raczej tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","raczej tak","trochę tak, trochę nie","zdecydowanie nie","raczej nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej nie","trochę tak, trochę nie"
"2021/12/28 3:13:46 PM CET","kobieta","20","Ekonomia","raczej tak","zdecydowanie tak","raczej tak","trochę tak, trochę nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","raczej nie","raczej nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","raczej nie","raczej tak","zdecydowanie tak","zdecydowanie tak","raczej nie","raczej tak","zdecydowanie tak","raczej tak","raczej nie","trochę tak, trochę nie","raczej tak"
"2021/12/28 3:13:53 PM CET","kobieta","21","Ekonomia","zdecydowanie nie","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","raczej tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie nie","trochę tak, trochę nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej nie","trochę tak, trochę nie","raczej nie","zdecydowanie nie","raczej nie"
"2021/12/28 3:14:37 PM CET","kobieta","20","Ekonomia","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","raczej tak","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","raczej nie","zdecydowanie tak","raczej nie","zdecydowanie nie","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","raczej tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak"
"2021/12/28 3:26:01 PM CET","kobieta","21","Matematyka ","raczej tak","trochę tak, trochę nie","raczej nie","raczej nie","zdecydowanie tak","raczej nie","raczej nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","raczej tak","trochę tak, trochę nie","raczej tak","raczej tak","raczej tak","raczej tak","zdecydowanie nie","raczej nie","zdecydowanie nie","raczej tak","zdecydowanie tak","zdecydowanie nie","raczej nie","raczej tak","zdecydowanie nie","trochę tak, trochę nie","raczej tak","zdecydowanie tak"
"2021/12/28 3:31:23 PM CET","kobieta","20","Matematyka","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","zdecydowanie nie","raczej tak","raczej nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","zdecydowanie nie","raczej tak","trochę tak, trochę nie","raczej tak","raczej tak","raczej tak","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie nie","raczej nie","raczej nie","raczej nie","raczej nie","raczej nie","raczej tak"
"2021/12/28 3:33:56 PM CET","kobieta","20","Ekonomia","trochę tak, trochę nie","raczej tak","raczej nie","zdecydowanie nie","raczej nie","zdecydowanie tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","raczej nie","zdecydowanie nie","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie nie","raczej nie","trochę tak, trochę nie","trochę tak, trochę nie"
"2021/12/28 3:34:39 PM CET","mężczyzna","24","Ekonomia","trochę tak, trochę nie","zdecydowanie nie","raczej nie","raczej nie","raczej nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie nie","raczej tak","raczej tak","trochę tak, trochę nie","raczej nie","zdecydowanie nie","raczej nie","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","zdecydowanie nie"
"2021/12/28 3:36:57 PM CET","mężczyzna","20","Ekonomia","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej tak","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie nie","zdecydowanie tak","raczej tak","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","raczej tak","raczej nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie nie","trochę tak, trochę nie","raczej nie","raczej tak","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej tak","trochę tak, trochę nie"
